epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
170,1607.11,1.50215,0.5971,0.80423,0.96588,0.984,0.98668,0.52914,1.58366,0.61414,0.80016,0.000135072,0.000135072,0.000135072
171,1616.69,1.51073,0.60169,0.7986,0.97433,0.98667,0.98829,0.53545,1.58744,0.60635,0.80095,0.000127904,0.000127904,0.000127904
172,1625.9,1.48992,0.59138,0.80605,0.97359,0.98289,0.98702,0.53615,1.57493,0.59623,0.80126,0.000120953,0.000120953,0.000120953
173,1636.03,1.44539,0.58544,0.81014,0.97502,0.984,0.98713,0.52899,1.59063,0.6002,0.80015,0.000114221,0.000114221,0.000114221
174,1645.6,1.47292,0.58599,0.80263,0.97024,0.98133,0.98512,0.52609,1.59504,0.60674,0.79872,0.000107711,0.000107711,0.000107711
175,1655.15,1.46509,0.59063,0.80305,0.97164,0.984,0.98722,0.5292,1.58042,0.60793,0.80052,0.000101423,0.000101423,0.000101423
176,1665.54,1.44859,0.58437,0.8103,0.97026,0.98133,0.98563,0.52795,1.57247,0.60928,0.80129,9.53593e-05,9.53593e-05,9.53593e-05
177,1675.16,1.46415,0.57932,0.80986,0.96624,0.97867,0.98099,0.53244,1.58016,0.60062,0.80179,8.95213e-05,8.95213e-05,8.95213e-05
178,1684.89,1.48952,0.57963,0.80847,0.96679,0.97867,0.98138,0.5304,1.59002,0.60178,0.80187,8.39104e-05,8.39104e-05,8.39104e-05
179,1694.33,1.4819,0.58599,0.79648,0.96322,0.97759,0.98111,0.52963,1.59806,0.60263,0.80054,7.8528e-05,7.8528e-05,7.8528e-05
180,1703.81,1.47666,0.58433,0.79653,0.96304,0.97867,0.98146,0.52827,1.59254,0.6004,0.80125,7.33755e-05,7.33755e-05,7.33755e-05
181,1713.8,1.4685,0.57317,0.80792,0.96243,0.97867,0.98139,0.52929,1.59677,0.60472,0.80182,6.8454e-05,6.8454e-05,6.8454e-05
182,1723.02,1.47612,0.58273,0.80273,0.96251,0.97867,0.98103,0.52745,1.60454,0.60162,0.80128,6.37649e-05,6.37649e-05,6.37649e-05
183,1732.36,1.4447,0.58468,0.81093,0.96324,0.9783,0.98038,0.52729,1.60407,0.60575,0.80224,5.93093e-05,5.93093e-05,5.93093e-05
